number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
55,0.03766656659199556,2026-07-20 16:44:49.225182,2026-07-20 16:45:10.504494,0 days 00:00:21.279312,20.0,0.02,6,50,2.0,7.0,0.03,7,300,15.0,0.04,4,100,COMPLETE
56,0.0357345466754657,2026-07-20 16:45:10.616813,2026-07-20 16:45:28.961491,0 days 00:00:18.344678,15.0,0.02,5,150,1.0,8.0,0.1,8,200,20.0,0.05,4,150,COMPLETE
57,0.03361743636782691,2026-07-20 16:45:29.065741,2026-07-20 16:45:50.194890,0 days 00:00:21.129149,5.0,0.03,6,50,1.5,8.0,0.09,6,300,10.0,0.02,3,150,COMPLETE
58,0.04321790619757766,2026-07-20 16:45:50.315274,2026-07-20 16:46:08.876330,0 days 00:00:18.561056,15.0,0.03,5,100,2.0,5.0,0.05,7,250,30.0,0.03,5,150,COMPLETE
59,0.034839872130194696,2026-07-20 16:46:08.977519,2026-07-20 16:46:34.743673,0 days 00:00:25.766154,10.0,0.02,5,50,1.5,10.0,0.09,8,300,15.0,0.04,4,100,COMPLETE
60,0.0282010997643362,2026-07-20 16:46:34.867561,2026-07-20 16:46:52.989978,0 days 00:00:18.122417,15.0,0.03,4,100,0.0,4.0,0.04,7,250,20.0,0.05,4,150,COMPLETE
61,0.04322175018105162,2026-07-20 16:46:53.093923,2026-07-20 16:47:13.620766,0 days 00:00:20.526843,15.0,0.01,5,100,1.5,9.0,0.06,6,300,10.0,0.04,4,150,COMPLETE
62,0.045012731734857314,2026-07-20 16:47:13.750263,2026-07-20 16:47:33.963739,0 days 00:00:20.213476,15.0,0.01,5,100,1.5,9.0,0.06,6,300,10.0,0.03,4,150,COMPLETE
63,0.04143694595919249,2026-07-20 16:47:34.075163,2026-07-20 16:47:54.159082,0 days 00:00:20.083919,15.0,0.01,5,100,1.5,10.0,0.05,6,300,10.0,0.03,3,150,COMPLETE
64,0.04297755596011897,2026-07-20 16:47:54.260025,2026-07-20 16:48:15.450074,0 days 00:00:21.190049,15.0,0.01,5,100,2.0,9.0,0.07,6,300,10.0,0.03,4,150,COMPLETE
