number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
61,0.04170899200749571,2026-07-20 15:58:46.897171,2026-07-20 15:59:08.865519,0 days 00:00:21.968348,20.0,0.03,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
62,0.04170899200749571,2026-07-20 15:59:08.987097,2026-07-20 15:59:30.808304,0 days 00:00:21.821207,20.0,0.03,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
63,0.04520838357045254,2026-07-20 15:59:30.949774,2026-07-20 15:59:52.698964,0 days 00:00:21.749190,20.0,0.03,6,50,1.0,7.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
64,0.04210202637105914,2026-07-20 15:59:52.834740,2026-07-20 16:00:14.552877,0 days 00:00:21.718137,20.0,0.02,6,50,1.0,7.0,0.09,7,250,20.0,0.02,4,150,COMPLETE
65,0.03885705023560604,2026-07-20 16:00:14.698782,2026-07-20 16:00:32.548983,0 days 00:00:17.850201,20.0,0.02,6,50,1.0,7.0,0.09,7,200,20.0,0.01,4,150,COMPLETE
66,0.037697934249658366,2026-07-20 16:00:32.664903,2026-07-20 16:00:52.240518,0 days 00:00:19.575615,20.0,0.02,6,50,1.0,6.0,0.09,6,250,15.0,0.02,3,150,COMPLETE
67,0.03100820745622626,2026-07-20 16:00:52.361952,2026-07-20 16:00:58.783286,0 days 00:00:06.421334,15.0,0.02,5,50,1.0,7.0,0.03,7,150,10.0,0.01,4,100,COMPLETE
68,0.033790383737980836,2026-07-20 16:00:58.900554,2026-07-20 16:01:19.414323,0 days 00:00:20.513769,20.0,0.02,6,50,1.0,6.0,0.09,8,200,20.0,0.02,3,150,COMPLETE
69,0.03684617754642981,2026-07-20 16:01:19.516639,2026-07-20 16:01:46.988691,0 days 00:00:27.472052,20.0,0.01,6,200,0.5,7.0,0.1,7,300,25.0,0.02,3,150,COMPLETE
70,0.04156697962590454,2026-07-20 16:01:47.146616,2026-07-20 16:02:06.688036,0 days 00:00:19.541420,10.0,0.02,6,100,1.0,5.0,0.1,6,250,20.0,0.05,4,100,COMPLETE
71,0.0412901277896309,2026-07-20 16:02:06.802355,2026-07-20 16:02:28.235735,0 days 00:00:21.433380,20.0,0.03,6,50,1.0,7.0,0.1,7,250,20.0,0.02,4,150,COMPLETE
72,0.03065872281983152,2026-07-20 16:02:28.380271,2026-07-20 16:02:50.077531,0 days 00:00:21.697260,20.0,0.03,6,50,0.5,9.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
73,0.041654648979707984,2026-07-20 16:02:50.220836,2026-07-20 16:03:11.432416,0 days 00:00:21.211580,20.0,0.02,6,50,1.0,6.0,0.06,7,250,20.0,0.04,4,150,COMPLETE
74,0.04135962146562397,2026-07-20 16:03:11.549303,2026-07-20 16:03:17.134274,0 days 00:00:05.584971,20.0,0.04,6,50,1.0,1.0,0.1,7,100,20.0,0.03,5,150,COMPLETE
75,0.03969355135262917,2026-07-20 16:03:17.239027,2026-07-20 16:03:38.596930,0 days 00:00:21.357903,20.0,0.03,6,50,1.0,7.0,0.09,7,250,20.0,0.05,4,150,COMPLETE
76,0.03708026042088769,2026-07-20 16:03:38.722604,2026-07-20 16:04:00.285287,0 days 00:00:21.562683,15.0,0.02,6,50,1.5,8.0,0.1,8,200,20.0,0.03,4,150,COMPLETE
77,0.03859798065552894,2026-07-20 16:04:00.452774,2026-07-20 16:04:23.564996,0 days 00:00:23.112222,20.0,0.03,5,50,1.0,6.0,0.09,6,300,20.0,0.05,3,150,COMPLETE
78,0.039446185997910124,2026-07-20 16:04:23.692501,2026-07-20 16:04:41.266733,0 days 00:00:17.574232,20.0,0.02,6,50,1.5,7.0,0.08,7,200,20.0,0.03,4,100,COMPLETE
79,0.03596269959760223,2026-07-20 16:04:41.377408,2026-07-20 16:04:59.288360,0 days 00:00:17.910952,20.0,0.03,4,150,1.5,8.0,0.1,5,250,25.0,0.04,4,150,COMPLETE
80,0.03452991981929365,2026-07-20 16:04:59.391516,2026-07-20 16:05:21.186947,0 days 00:00:21.795431,15.0,0.02,6,50,1.5,5.0,0.1,7,250,15.0,0.02,3,150,COMPLETE
81,0.04245470914693014,2026-07-20 16:05:21.329028,2026-07-20 16:05:43.260193,0 days 00:00:21.931165,20.0,0.05,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
