,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_propensity_model__n_estimators,param_propensity_model__max_depth,param_propensity_model__learning_rate,param_propensity_model__l2_leaf_reg,param_outcome_model__n_estimators,param_outcome_model__max_depth,param_outcome_model__learning_rate,param_outcome_model__l2_leaf_reg,param_effect_model__random_strength,param_effect_model__n_estimators,param_effect_model__max_depth,param_effect_model__learning_rate,param_effect_model__l2_leaf_reg,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
74,25.477216561635334,1.998424889910024,0.13293631871541342,0.014322550475826831,100,3,0.02,20.0,250,7,0.04,2.0,1.0,100,6,0.05,20.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.02, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 7, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 2.0, 'effect_model__random_strength': 1.0, 'effect_model__n_estimators': 100, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.05, 'effect_model__l2_leaf_reg': 20.0}",0.04636993208708934,0.050044489272785084,0.04432992156521055,0.046914780975028325,0.0023645600371781173,50
75,12.358724435170492,1.671162518282724,0.16218050320943198,0.05641836635864693,100,5,0.03,15.0,150,8,0.04,9.0,0.5,100,3,0.05,15.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.03, 'propensity_model__l2_leaf_reg': 15.0, 'outcome_model__n_estimators': 150, 'outcome_model__max_depth': 8, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 9.0, 'effect_model__random_strength': 0.5, 'effect_model__n_estimators': 100, 'effect_model__max_depth': 3, 'effect_model__learning_rate': 0.05, 'effect_model__l2_leaf_reg': 15.0}",0.0479328165374677,0.05050861667602982,0.042641776498731326,0.047027736570742946,0.0032747692950205734,48
76,27.467641671498615,0.5470603717363641,0.14792879422505698,0.042868733954123446,100,5,0.05,15.0,250,6,0.09000000000000001,5.0,1.5,150,4,0.03,5.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.05, 'propensity_model__l2_leaf_reg': 15.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.09000000000000001, 'outcome_model__l2_leaf_reg': 5.0, 'effect_model__random_strength': 1.5, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.03, 'effect_model__l2_leaf_reg': 5.0}",0.044207547105102496,0.05844286204529854,0.03738428333680051,0.046678230829067184,0.00877284229325174,59
77,23.652472972869873,0.21932154762529155,0.15177265803019205,0.07092323589534498,150,3,0.01,20.0,200,7,0.060000000000000005,6.0,0.0,50,4,0.04,5.0,"{'propensity_model__n_estimators': 150, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.01, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 200, 'outcome_model__max_depth': 7, 'outcome_model__learning_rate': 0.060000000000000005, 'outcome_model__l2_leaf_reg': 6.0, 'effect_model__random_strength': 0.0, 'effect_model__n_estimators': 50, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.04, 'effect_model__l2_leaf_reg': 5.0}",0.045802668213382,0.053105558642165845,0.04173279505200819,0.04688034063585201,0.004705030733659324,52
78,28.06707541147868,0.6374212315527714,0.13161412874857584,0.047320647914463075,150,5,0.05,20.0,250,6,0.060000000000000005,4.0,1.5,100,5,0.04,5.0,"{'propensity_model__n_estimators': 150, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.05, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.060000000000000005, 'outcome_model__l2_leaf_reg': 4.0, 'effect_model__random_strength': 1.5, 'effect_model__n_estimators': 100, 'effect_model__max_depth': 5, 'effect_model__learning_rate': 0.04, 'effect_model__l2_leaf_reg': 5.0}",0.04220558188179607,0.05604374233601074,0.038848840479676794,0.04569938823249453,0.007441826593624929,73
79,25.232158422470093,0.6711881485423298,0.12918734550476074,0.04846800789341696,100,5,0.02,10.0,200,6,0.1,2.0,2.0,150,3,0.02,10.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.02, 'propensity_model__l2_leaf_reg': 10.0, 'outcome_model__n_estimators': 200, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.1, 'outcome_model__l2_leaf_reg': 2.0, 'effect_model__random_strength': 2.0, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 3, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 10.0}",0.044443611432825936,0.049392873959793596,0.03993040344014198,0.04458896294425383,0.003864404428474911,84
80,24.56381932894389,1.0886542866624063,0.1594223976135254,0.05659738588565661,100,5,0.03,10.0,300,5,0.04,6.0,2.0,50,6,0.02,10.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.03, 'propensity_model__l2_leaf_reg': 10.0, 'outcome_model__n_estimators': 300, 'outcome_model__max_depth': 5, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 6.0, 'effect_model__random_strength': 2.0, 'effect_model__n_estimators': 50, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 10.0}",0.04785276653133727,0.05496886722067312,0.04076900714634839,0.04786354696611959,0.0057970736120868775,35
81,8.98828935623169,0.6980444249414438,0.16841411590576172,0.03155568551922066,50,5,0.04,20.0,100,6,0.04,3.0,0.0,50,5,0.05,10.0,"{'propensity_model__n_estimators': 50, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.04, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 100, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 3.0, 'effect_model__random_strength': 0.0, 'effect_model__n_estimators': 50, 'effect_model__max_depth': 5, 'effect_model__learning_rate': 0.05, 'effect_model__l2_leaf_reg': 10.0}",0.044553467226803894,0.050901735906586754,0.039860829948141885,0.04510534436051084,0.004524292016351825,81
82,20.296634356180828,0.9791113868268653,0.17377646764119467,0.020562842981009417,50,3,0.04,15.0,200,5,0.07,7.0,0.0,150,4,0.01,15.0,"{'propensity_model__n_estimators': 50, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.04, 'propensity_model__l2_leaf_reg': 15.0, 'outcome_model__n_estimators': 200, 'outcome_model__max_depth': 5, 'outcome_model__learning_rate': 0.07, 'outcome_model__l2_leaf_reg': 7.0, 'effect_model__random_strength': 0.0, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.01, 'effect_model__l2_leaf_reg': 15.0}",0.04876080440416827,0.05284413758353845,0.039119857578488876,0.0469082665220652,0.005754006596434702,51
83,25.942897001902264,1.40563361095005,0.21148808797200522,0.006092908905776094,100,3,0.04,20.0,250,7,0.060000000000000005,7.0,0.0,50,6,0.01,5.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.04, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 7, 'outcome_model__learning_rate': 0.060000000000000005, 'outcome_model__l2_leaf_reg': 7.0, 'effect_model__random_strength': 0.0, 'effect_model__n_estimators': 50, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.01, 'effect_model__l2_leaf_reg': 5.0}",0.04437709914436935,0.05590597578260617,0.04552909674629843,0.04860405722442465,0.005184610920242672,18
